true/pred,0,1,2,3,4,5,6,7,8
0,27,3,4,6,4,3,2,7,3
1,0,7,3,4,1,1,2,3,1
2,0,1,2,2,4,0,0,2,1
3,1,2,1,1,4,5,1,2,3
4,0,1,0,4,5,3,0,2,2
5,2,2,1,0,1,0,0,3,1
6,1,3,1,6,1,3,8,7,4
7,22,12,13,14,22,10,11,78,12
8,0,1,0,0,1,1,0,1,1
