true/pred,0,1,2,3,4,5,6,7,8
0,37,2,0,3,2,3,0,12,0
1,0,8,0,2,3,0,2,7,0
2,0,1,2,0,3,0,4,2,0
3,1,4,1,2,0,0,2,10,0
4,0,1,1,4,3,0,2,5,1
5,2,0,0,0,1,1,1,5,0
6,1,4,1,1,1,1,9,15,1
7,13,13,6,11,7,4,25,109,6
8,2,0,0,0,0,0,2,1,0
