true/pred,0,1,2,3,4,5,6,7,8
0,20,1,2,3,3,3,0,24,3
1,0,3,3,2,1,1,2,9,1
2,0,1,2,2,3,0,0,3,1
3,1,3,1,1,1,5,0,6,2
4,0,1,0,3,5,3,0,4,1
5,1,0,1,0,1,0,0,6,1
6,1,2,1,3,0,2,3,18,4
7,10,7,8,5,13,9,4,132,6
8,0,0,0,0,0,1,1,2,1
