true/pred,0,1,2,3,4,5,6,7,8
0,46,0,1,2,1,0,1,8,0
1,0,5,1,2,0,1,2,11,0
2,0,0,1,1,1,0,4,4,1
3,1,3,2,2,0,1,2,9,0
4,2,0,0,3,2,1,1,8,0
5,3,0,1,0,1,0,0,5,0
6,3,2,0,6,3,1,4,11,4
7,23,2,2,2,10,4,12,136,3
8,0,0,0,0,0,0,1,4,0
