true/pred,0,1,2,3,4,5,6,7,8
0,22,2,2,5,3,2,3,19,1
1,1,6,3,4,1,1,2,4,0
2,0,1,2,1,4,0,1,2,1
3,2,3,1,0,1,4,1,8,0
4,1,1,0,3,5,3,0,3,1
5,2,0,1,0,1,0,0,6,0
6,2,2,1,6,0,3,6,11,3
7,18,10,8,10,16,9,12,105,6
8,0,0,0,0,1,1,1,2,0
