true/pred,0,1,2,3,4,5,6,7,8
0,48,0,1,1,1,0,0,8,0
1,2,2,0,3,0,1,1,13,0
2,0,0,1,1,2,0,1,6,1
3,2,2,1,0,0,1,2,12,0
4,2,0,0,3,1,0,1,10,0
5,2,0,1,0,0,0,0,7,0
6,1,0,0,4,2,1,3,21,2
7,18,1,2,1,6,2,5,159,0
8,0,0,0,0,1,0,1,3,0
