true/pred,0,1,2,3,4,5,6,7,8
0,46,1,1,2,0,0,2,6,1
1,1,2,4,0,0,1,0,14,0
2,2,1,2,3,0,0,0,3,1
3,2,2,1,2,3,0,2,8,0
4,0,4,0,4,1,0,1,7,0
5,1,0,0,0,0,0,2,7,0
6,1,4,0,4,2,0,5,17,1
7,8,7,3,6,8,1,15,140,6
8,1,0,0,0,0,0,0,4,0
