true/pred,0,1,2,3,4,5,6,7,8
0,47,1,0,0,0,2,2,6,1
1,1,3,2,2,0,0,1,12,1
2,0,1,2,2,2,0,1,4,0
3,1,4,0,2,3,1,2,7,0
4,0,2,1,4,3,0,1,6,0
5,1,0,0,0,0,0,2,7,0
6,2,3,1,6,3,0,6,12,1
7,9,5,3,10,8,2,13,140,4
8,1,2,0,0,0,0,0,2,0
