true/pred,0,1,2,3,4,5,6,7,8
0,50,0,0,0,1,1,2,5,0
1,2,2,2,1,0,0,4,11,0
2,1,0,2,2,0,0,1,6,0
3,1,1,0,2,3,1,3,9,0
4,0,1,1,2,3,1,2,6,1
5,1,2,0,0,1,0,0,6,0
6,3,3,1,2,2,0,9,14,0
7,11,5,3,6,8,5,15,132,9
8,0,1,0,0,0,1,1,2,0
