true/pred,0,1,2,3,4,5,6,7,8
0,47,0,1,1,1,0,1,8,0
1,0,5,1,2,0,1,2,11,0
2,0,0,1,0,1,0,3,6,1
3,1,2,2,1,0,1,2,11,0
4,2,0,0,2,2,0,1,10,0
5,2,0,1,0,0,0,0,7,0
6,2,0,1,5,3,1,4,15,3
7,21,1,2,1,6,3,9,151,0
8,0,0,0,0,1,0,1,3,0
