true/pred,0,1,2,3,4,5,6,7,8
0,22,2,2,5,4,2,3,16,3
1,1,6,3,3,1,1,2,4,1
2,0,1,2,1,3,0,2,2,1
3,2,3,1,0,1,4,1,7,1
4,1,1,0,3,5,3,0,3,1
5,2,0,1,0,1,0,0,5,1
6,1,3,1,7,0,2,6,10,4
7,17,9,8,10,16,9,12,107,6
8,0,0,0,0,1,1,1,2,0
