true/pred,0,1,2,3,4,5,6,7,8
0,39,2,2,2,3,1,0,10,0
1,0,6,1,2,4,1,2,6,0
2,0,1,3,1,1,1,3,2,0
3,1,4,1,2,0,0,2,10,0
4,1,2,1,3,1,0,3,6,0
5,2,0,0,1,0,1,2,4,0
6,1,3,0,4,1,1,7,16,1
7,13,9,5,9,4,5,23,121,5
8,0,0,0,0,0,0,3,2,0
